,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
count,53252,52209.0,52745.0,52691.0,53252.0,52519,53050.0,52598,53252.0,53252.0,53252.0,53252.0,52225,53162.0,53162.0,53162.0,53252.0,53252.0,53252
unique,53252,,,,,4,,7,,,,,5,,,,,,2
top,INN00001,,,,,Meal Plan 1,,Room_Type 1,,,,,Online,,,,,,Not_Canceled
freq,1,,,,,40253,,40779,,,,,33687,,,,,,35817
mean,,1.8454097952460304,0.10509052990804815,0.8124537397278473,2.2051753924735222,,0.03136663524976437,,85.32806279576354,2017.8213776008413,7.426556749042289,15.590513032374371,,0.025638614047628006,0.02292991234340318,0.15148038072307288,103.49764947795389,0.6221174791557125,
std,,0.518085836501912,0.4047459236564485,0.8716738462791931,1.4149852035836674,,0.17430818160134673,,86.11489573238124,0.3830394142435301,3.0701358343776612,8.733642739745587,,0.15805614646283492,0.3640885802770663,1.7251195553849727,35.05314684644086,0.7878210202961562,
min,,0.0,0.0,0.0,0.0,,0.0,,0.0,2017.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,
25%,,2.0,0.0,0.0,1.0,,0.0,,17.0,2018.0,5.0,8.0,,0.0,0.0,0.0,80.315,0.0,
50%,,2.0,0.0,1.0,2.0,,0.0,,57.0,2018.0,8.0,16.0,,0.0,0.0,0.0,99.45,0.0,
75%,,2.0,0.0,2.0,3.0,,0.0,,127.0,2018.0,10.0,23.0,,0.0,0.0,0.0,120.12,1.0,
max,,4.0,10.0,7.0,17.0,,1.0,,443.0,2018.0,12.0,31.0,,1.0,13.0,58.0,540.0,5.0,
