iter	Logloss
0	0.6675835804
1	0.64586295
2	0.6297354077
3	0.6119679947
4	0.5946901571
5	0.5804533052
6	0.5675149143
7	0.558228061
8	0.5494452207
9	0.5392748242
10	0.5297644979
11	0.5221897528
12	0.5159224483
13	0.5089985511
14	0.5028007975
15	0.497814448
16	0.4917457095
17	0.4864306554
18	0.4815564117
19	0.4773358019
20	0.4733762329
21	0.4696172235
22	0.4662145834
23	0.4632773877
24	0.4604303511
25	0.4578413852
26	0.4551950932
27	0.4532049716
28	0.4511575603
29	0.4490162808
30	0.4469042823
31	0.4451900915
32	0.4424837954
33	0.4400119198
34	0.4382671157
35	0.4366729736
36	0.4352839504
37	0.4337861016
38	0.4325183987
39	0.4316464109
40	0.4303770859
41	0.4277004395
42	0.4264741691
43	0.4251195141
44	0.4234832675
45	0.4222253355
46	0.4210485769
47	0.4200412643
48	0.418606185
49	0.4173336589
50	0.4162846785
51	0.4154832272
52	0.4146664946
53	0.4139501692
54	0.4129875291
55	0.4116378354
56	0.409259891
57	0.4082564002
58	0.4075431236
59	0.4066982906
60	0.4060755853
61	0.4055312355
62	0.40484253
63	0.4041999342
64	0.4037101508
65	0.4031858996
66	0.4023998871
67	0.4019941482
68	0.4014155455
69	0.4004272501
70	0.3998736269
71	0.3994694336
72	0.3989198958
73	0.3983397523
74	0.3979145902
75	0.3972502479
76	0.3964275458
77	0.3958165849
78	0.3954782602
79	0.394943693
80	0.3945134915
81	0.3937137225
82	0.3933315402
83	0.3929266192
84	0.3921507944
85	0.3918119919
86	0.391080359
87	0.3907152014
88	0.3904463305
89	0.3892744802
90	0.3888526787
91	0.3885391057
92	0.3872752005
93	0.3869757818
94	0.386558049
95	0.3859121459
96	0.3854967382
97	0.3851166103
98	0.3847637254
99	0.3844340081
100	0.3838598151
101	0.383656938
102	0.3832194912
103	0.3827955032
104	0.3824776185
105	0.3823692363
106	0.3819583878
107	0.3817514319
108	0.381384985
109	0.3808675052
110	0.3804818271
111	0.3800653339
112	0.3798175658
113	0.3796054141
114	0.3789709372
115	0.3786270358
116	0.378238115
117	0.3769986215
118	0.3766461091
119	0.3763428653
120	0.3759664378
121	0.3757634864
122	0.3754816115
123	0.3753194718
124	0.3750402654
125	0.3746797566
126	0.3744235773
127	0.3740638506
128	0.3738685028
129	0.3735931157
130	0.3731193917
131	0.3729483857
132	0.3726084206
133	0.372449089
134	0.372254224
135	0.3714755807
136	0.3712470628
137	0.3705269588
138	0.3704569776
139	0.3702367149
140	0.3699955527
141	0.3698055967
142	0.3694328865
143	0.3692856533
144	0.3689476987
145	0.3687620115
146	0.368632742
147	0.368338034
148	0.3681410194
149	0.3679979478
150	0.3678169126
151	0.3676101552
152	0.3674525672
153	0.367050711
154	0.3668481559
155	0.3667073566
156	0.3665130585
157	0.3663189027
158	0.3657156037
159	0.3655323661
160	0.36499105
161	0.3647432929
162	0.3643872004
163	0.3642836572
164	0.3641554902
165	0.3638485172
166	0.3636154961
167	0.3633830159
168	0.3631215149
169	0.3628575795
170	0.3623922391
171	0.3621654029
172	0.3619533621
173	0.3617886045
174	0.3616892047
175	0.3613814774
176	0.3611833371
177	0.3610834711
178	0.3608694665
179	0.3608340454
180	0.3606912206
181	0.3605306547
182	0.360495508
183	0.3604281234
184	0.3602751647
185	0.359541405
186	0.3594784268
187	0.3592518116
188	0.3590606956
189	0.358917118
190	0.3581897056
191	0.3577620014
192	0.3576411832
193	0.357468885
194	0.3572795117
195	0.3571430125
196	0.3563970216
197	0.3561775078
198	0.3560920069
199	0.3558953033
200	0.355696759
201	0.3555155667
202	0.3550545513
203	0.3549357594
204	0.354840315
205	0.3546233433
206	0.3540514692
207	0.3538943811
208	0.3536712715
209	0.3536398874
210	0.3535069405
211	0.353087017
212	0.3529998377
213	0.3528863308
214	0.3526939013
215	0.3525847307
216	0.3523624692
217	0.3521815572
218	0.3520341823
219	0.3519538639
220	0.3517595645
221	0.3513984676
222	0.3513906779
223	0.3511521204
224	0.3510395172
225	0.3510328208
226	0.3508809618
227	0.3507978679
228	0.3505727761
229	0.3505326598
230	0.3501056161
231	0.349838175
232	0.3496781005
233	0.3495422656
234	0.3494552703
235	0.3490290876
236	0.3488540435
237	0.3485759451
238	0.3484645539
239	0.3481546154
240	0.3476997727
241	0.3474630685
242	0.3473302038
243	0.3472362469
244	0.3470837341
245	0.346930175
246	0.3467862289
247	0.3464909761
248	0.3464831743
249	0.3463136004
250	0.3461781684
251	0.3459600507
252	0.3457078533
253	0.3453854327
254	0.3452609569
255	0.3450226021
256	0.3448912796
257	0.344651063
258	0.3444828325
259	0.344288498
260	0.3441586151
261	0.3438955053
262	0.3438281848
263	0.3438119868
264	0.343746357
265	0.3435419544
266	0.343281663
267	0.3430806487
268	0.3430381246
269	0.3426003912
270	0.342072043
271	0.3418356173
272	0.341708995
273	0.3413125971
274	0.3410486967
275	0.3406037945
276	0.3404287943
277	0.3402161584
278	0.3400949567
279	0.3399083939
280	0.339678791
281	0.3394729996
282	0.3394685237
283	0.3393809641
284	0.3390967559
285	0.3389554569
286	0.3389488829
287	0.3388412473
288	0.3388374435
289	0.338701564
290	0.3385515511
291	0.3383779734
292	0.3380861266
293	0.3379951376
294	0.3378404335
295	0.3377465751
296	0.3376840549
297	0.3374282118
298	0.3372759847
299	0.3370327373
300	0.3369109511
301	0.3367897751
302	0.3365023784
303	0.3363131536
304	0.336188919
305	0.3360915378
306	0.3357835511
307	0.3356227507
308	0.3353396068
309	0.3351815995
310	0.3350303214
311	0.3349091702
312	0.3347429854
313	0.3344319273
314	0.3343136609
315	0.3341149229
316	0.3339420878
317	0.3337928832
318	0.3336608661
319	0.333545156
320	0.3334009836
321	0.3331311302
322	0.3329537923
323	0.332789995
324	0.3324635933
325	0.3323480089
326	0.3321750754
327	0.331832854
328	0.3316019878
329	0.3315015474
330	0.3313550342
331	0.3310777685
332	0.3309003454
333	0.3306787247
334	0.3305440055
335	0.3304139299
336	0.3302687129
337	0.3301609699
338	0.3300361944
339	0.3299157899
340	0.3298104676
341	0.3296800601
342	0.3295354829
343	0.3293244185
344	0.3292381958
345	0.3289197275
346	0.3287439405
347	0.3285790452
348	0.3284401809
349	0.3282697982
350	0.3281752921
351	0.328046184
352	0.3279272235
353	0.3275404436
354	0.327443555
355	0.3273012121
356	0.3272309313
357	0.3270600377
358	0.3269112139
359	0.3267916576
360	0.3266388071
361	0.3265135115
362	0.3264534567
363	0.3263575055
364	0.326241236
365	0.3260890848
366	0.3259748058
367	0.3257562152
368	0.3256883553
369	0.3255349396
370	0.3253293655
371	0.3252798571
372	0.3250089603
373	0.3248489527
374	0.3247132168
375	0.3245857557
376	0.324388857
377	0.3242949535
378	0.3241753222
379	0.3240718634
380	0.3238922547
381	0.3237359402
382	0.3236342775
383	0.3235160253
384	0.3233900826
385	0.3232637217
386	0.3231771297
387	0.3230480685
388	0.3228177102
389	0.3227040382
390	0.3226229925
391	0.3225198974
392	0.3224852997
393	0.3224016729
394	0.3222476591
395	0.3221583622
396	0.3220094196
397	0.3218898892
398	0.3218733899
399	0.3216794627
400	0.3216060088
401	0.3215173552
402	0.3214203617
403	0.3212931283
404	0.3211744573
405	0.3210708768
406	0.3209435591
407	0.3208691026
408	0.3207375261
409	0.3206969459
410	0.3206345245
411	0.3204970393
412	0.3203179723
413	0.3202102826
414	0.3200973617
415	0.319959763
416	0.3198694188
417	0.3198047095
418	0.3196942854
419	0.3196264318
420	0.3195146891
421	0.3193525558
422	0.3192539492
423	0.3191319519
424	0.3190187213
425	0.3189057055
426	0.3186973359
427	0.3185868325
428	0.3184813876
429	0.3183987414
430	0.3181202926
431	0.3178799361
432	0.3177370948
433	0.31761926
434	0.317448884
435	0.3173300118
436	0.3172522867
437	0.3171477133
438	0.3170340755
439	0.3169506923
440	0.3169162882
441	0.316855033
442	0.3167380165
443	0.3166666268
444	0.3166321871
445	0.3164519271
446	0.3163471955
447	0.3163278985
448	0.3161978823
449	0.3160995841
450	0.3160333744
451	0.3160156282
452	0.3159035529
453	0.3158053414
454	0.315699383
455	0.3155009387
456	0.3153769516
457	0.3152853195
458	0.3151684418
459	0.3150493162
460	0.3148913768
461	0.3147771368
462	0.3146499365
463	0.3145638378
464	0.3144657496
465	0.3143527012
466	0.3142732848
467	0.3141774026
468	0.3140957445
469	0.3139633443
470	0.3138254255
471	0.313718311
472	0.3136293238
473	0.3135280276
474	0.3134992804
475	0.3134239084
476	0.3132972271
477	0.3131326308
478	0.3130460581
479	0.3129211715
480	0.3128240018
481	0.3127816011
482	0.3126672103
483	0.3126011689
484	0.3124956385
485	0.3123591563
486	0.3122933716
487	0.3121539659
488	0.3120238467
489	0.3119578226
490	0.3118651456
491	0.3117496252
492	0.3116577867
493	0.3115617944
494	0.311399753
495	0.3111717584
496	0.3111066115
497	0.3110714547
498	0.3109863412
499	0.3109349814
500	0.31082398
501	0.3106940826
502	0.3106062578
503	0.310541306
504	0.3104808554
505	0.3104110185
506	0.3102896
507	0.3101954365
508	0.310193056
509	0.3100980222
510	0.3100043796
511	0.3099252165
512	0.3098667661
513	0.3097103504
514	0.3096003025
515	0.309494331
516	0.309386343
517	0.3092952739
518	0.3092037331
519	0.3091261076
520	0.3090684578
521	0.3090101215
522	0.3089533155
523	0.3089066142
524	0.3087494838
525	0.3086300077
526	0.3085069124
527	0.3084491041
528	0.3082598946
529	0.308194698
530	0.3080810004
531	0.3078904591
532	0.3077862535
533	0.3076872796
534	0.3075799405
535	0.3074531317
536	0.3073692288
537	0.3072386934
538	0.3071028401
539	0.3069940406
540	0.3069335291
541	0.3067879146
542	0.3067105528
543	0.3066245363
544	0.3065377953
545	0.3064783173
546	0.3064211335
547	0.3063266181
548	0.3062735248
549	0.3061977596
550	0.3061322917
551	0.3060484872
552	0.3059352036
553	0.3058734934
554	0.3057883698
555	0.3057560257
556	0.3056946258
557	0.3055886496
558	0.3055052297
559	0.3053851723
560	0.3052018327
561	0.3051164336
562	0.3049943854
563	0.3049032211
564	0.3047512374
565	0.3046799968
566	0.304594284
567	0.3045199606
568	0.3044840355
569	0.3043727659
570	0.3043117209
571	0.3042167869
572	0.3041804187
573	0.3040101747
574	0.3039545784
575	0.3038544649
576	0.3038074166
577	0.3037316094
578	0.3036335349
579	0.3035543502
580	0.3034407098
581	0.3033436157
582	0.3032275864
583	0.3031495774
584	0.3030428622
585	0.3029270357
586	0.3028198128
587	0.3027699239
588	0.302682506
589	0.3026221377
590	0.3025440053
591	0.3024239987
592	0.3023355629
593	0.3022333648
594	0.3022316683
595	0.3021354456
596	0.3021333533
597	0.3021312218
598	0.3020463896
599	0.3019801527
600	0.3019044421
601	0.3017734804
602	0.3015871837
603	0.3014617844
604	0.3013584471
605	0.3011629622
606	0.3010831554
607	0.300904237
608	0.3008102308
609	0.3007724767
610	0.3006596731
611	0.3005696763
612	0.3004404746
613	0.3003504785
614	0.3001717626
615	0.3000796469
616	0.2999743955
617	0.2998784356
618	0.299795739
619	0.2997155466
620	0.2996261044
621	0.2995234683
622	0.2994040088
623	0.299302587
624	0.2992059968
625	0.299147937
626	0.2991455639
627	0.299071947
628	0.2989696342
629	0.2989684281
630	0.2989127074
631	0.2988311944
632	0.2987412379
633	0.2986694105
634	0.2985430336
635	0.2984434864
636	0.2984421956
637	0.2984409603
638	0.2983842775
639	0.2982963528
640	0.2982100653
