iter	Passed	Remaining
0	55	55529
1	58	29344
2	61	20594
3	66	16437
4	69	13922
5	73	12121
6	76	10818
7	79	9874
8	84	9258
9	87	8649
10	90	8141
11	93	7711
12	96	7363
13	100	7085
14	103	6807
15	106	6552
16	109	6329
17	113	6175
18	117	6047
19	120	5889
20	123	5743
21	126	5614
22	130	5539
23	133	5433
24	136	5332
25	139	5237
26	143	5171
27	146	5097
28	150	5024
29	153	4961
30	156	4886
31	159	4815
32	162	4767
33	166	4720
34	169	4677
35	172	4628
36	175	4578
37	179	4536
38	182	4494
39	185	4452
40	188	4410
41	191	4376
42	195	4349
43	198	4315
44	202	4286
45	205	4256
46	209	4247
47	212	4218
48	216	4195
49	219	4167
50	222	4137
51	225	4118
52	228	4091
53	232	4064
54	235	4039
55	238	4017
56	241	3999
57	244	3970
58	247	3946
59	250	3922
60	253	3895
61	255	3870
62	258	3847
63	261	3826
64	264	3803
65	267	3780
66	270	3761
67	272	3739
68	275	3719
69	278	3701
70	281	3684
71	284	3669
72	287	3650
73	290	3635
74	295	3643
75	298	3626
76	302	3631
77	309	3653
78	314	3661
79	319	3671
80	324	3677
81	327	3671
82	330	3656
83	333	3640
84	337	3632
85	340	3616
86	343	3602
87	345	3585
88	348	3569
89	351	3554
90	355	3555
91	358	3541
92	361	3526
93	364	3510
94	367	3497
95	369	3482
96	372	3469
97	375	3454
98	377	3437
99	380	3424
100	383	3411
101	386	3405
102	390	3399
103	393	3392
104	397	3384
105	399	3371
106	403	3366
107	407	3362
108	410	3351
109	412	3341
110	416	3332
111	418	3321
112	421	3311
113	424	3301
114	427	3291
115	430	3281
116	433	3271
117	436	3262
118	439	3251
119	442	3245
120	445	3233
121	447	3223
122	450	3212
123	453	3202
124	456	3193
125	459	3185
126	461	3174
127	464	3165
128	467	3154
129	470	3147
130	473	3138
131	476	3130
132	478	3120
133	480	3107
134	483	3099
135	486	3091
136	489	3081
137	491	3072
138	494	3062
139	497	3053
140	499	3045
141	502	3035
142	505	3028
143	507	3018
144	510	3010
145	513	3001
146	515	2992
147	518	2984
148	521	2975
149	523	2968
150	526	2960
151	529	2952
152	532	2945
153	534	2937
154	537	2929
155	540	2921
156	542	2913
157	545	2906
158	548	2899
159	550	2891
160	553	2884
161	556	2876
162	558	2870
163	561	2863
164	564	2856
165	567	2852
166	570	2844
167	573	2838
168	575	2830
169	578	2824
170	581	2818
171	584	2815
172	588	2811
173	590	2804
174	593	2799
175	596	2794
176	599	2788
177	602	2781
178	605	2777
179	608	2769
180	610	2762
181	613	2756
182	615	2749
183	618	2742
184	621	2736
185	623	2730
186	626	2724
187	629	2719
188	632	2714
189	635	2709
190	638	2702
191	640	2697
192	643	2690
193	646	2684
194	649	2679
195	651	2672
196	654	2666
197	657	2661
198	659	2654
199	662	2648
200	664	2642
201	667	2636
202	670	2631
203	672	2624
204	675	2619
205	678	2614
206	680	2608
207	683	2603
208	686	2597
209	688	2591
210	692	2587
211	694	2582
212	697	2577
213	700	2571
214	702	2566
215	705	2560
216	708	2555
217	710	2550
218	713	2545
219	716	2540
220	719	2535
221	722	2531
222	724	2525
223	727	2520
224	730	2515
225	732	2509
226	735	2503
227	737	2498
228	741	2497
229	744	2492
230	747	2487
231	749	2482
232	752	2477
233	755	2472
234	757	2466
235	760	2463
236	763	2457
237	767	2456
238	770	2452
239	775	2455
240	781	2460
241	787	2468
242	791	2466
243	794	2462
244	797	2458
245	800	2453
246	804	2451
247	807	2447
248	809	2442
249	813	2439
250	816	2436
251	819	2431
252	822	2428
253	826	2427
254	830	2425
255	832	2420
256	835	2416
257	838	2412
258	844	2417
259	849	2419
260	852	2415
261	855	2410
262	858	2405
263	861	2400
264	864	2397
265	867	2394
266	870	2390
267	873	2386
268	876	2382
269	879	2378
270	883	2375
271	885	2371
272	888	2366
273	892	2365
274	896	2363
275	902	2366
276	906	2365
277	908	2360
278	913	2360
279	916	2357
280	921	2358
281	926	2359
282	929	2354
283	934	2356
284	937	2352
285	940	2348
286	943	2343
287	947	2343
288	950	2337
289	954	2336
290	957	2333
291	960	2329
292	963	2325
293	966	2321
294	970	2318
295	973	2315
296	977	2313
297	980	2309
298	983	2306
299	986	2302
300	990	2299
301	993	2295
302	996	2292
303	999	2288
304	1002	2285
305	1006	2283
306	1011	2284
307	1017	2286
308	1023	2289
309	1029	2292
310	1035	2294
311	1041	2296
312	1047	2299
313	1053	2301
314	1058	2301
315	1064	2304
316	1069	2304
317	1074	2304
318	1079	2304
319	1084	2305
320	1087	2300
321	1090	2295
322	1092	2290
323	1096	2288
324	1100	2284
325	1102	2280
326	1105	2275
327	1108	2271
328	1112	2268
329	1115	2265
330	1118	2260
331	1121	2256
332	1124	2252
333	1128	2250
334	1131	2246
335	1134	2241
336	1137	2236
337	1139	2232
338	1142	2228
339	1145	2223
340	1148	2219
341	1151	2214
342	1153	2209
343	1156	2204
344	1158	2200
345	1161	2196
346	1164	2191
347	1167	2186
348	1169	2181
349	1172	2177
350	1175	2174
351	1178	2169
352	1181	2165
353	1184	2161
354	1187	2158
355	1191	2155
356	1194	2151
357	1197	2147
358	1200	2142
359	1202	2138
360	1205	2134
361	1209	2130
362	1212	2126
363	1214	2122
364	1217	2118
365	1220	2114
366	1223	2109
367	1226	2105
368	1228	2101
369	1231	2097
370	1234	2093
371	1237	2088
372	1240	2084
373	1242	2080
374	1245	2075
375	1248	2071
376	1250	2067
377	1253	2062
378	1256	2058
379	1258	2054
380	1261	2049
381	1264	2045
382	1267	2042
383	1271	2039
384	1276	2039
385	1281	2038
386	1287	2038
387	1292	2038
388	1297	2038
389	1302	2037
390	1308	2037
391	1313	2037
392	1318	2035
393	1323	2036
394	1329	2035
395	1334	2035
396	1339	2034
397	1344	2033
398	1349	2032
399	1355	2032
400	1360	2031
401	1365	2031
402	1372	2032
403	1375	2028
404	1378	2025
405	1381	2021
406	1384	2017
407	1399	2030
408	1418	2049
409	1422	2047
410	1430	2050
411	1434	2047
412	1440	2047
413	1444	2044
414	1448	2041
415	1451	2037
416	1454	2034
417	1457	2029
418	1460	2025
419	1463	2021
420	1466	2016
421	1469	2012
422	1472	2008
423	1475	2004
424	1478	2000
425	1481	1996
426	1484	1992
427	1487	1988
428	1490	1984
429	1493	1980
430	1497	1977
431	1500	1973
432	1504	1969
433	1507	1965
434	1510	1961
435	1513	1957
436	1516	1953
437	1519	1949
438	1522	1945
439	1525	1941
440	1528	1936
441	1531	1932
442	1533	1928
443	1536	1924
444	1539	1920
445	1542	1915
446	1545	1911
447	1547	1906
448	1551	1904
449	1554	1900
450	1557	1896
451	1560	1891
452	1563	1887
453	1567	1884
454	1570	1880
455	1573	1876
456	1576	1872
457	1579	1868
458	1582	1864
459	1585	1860
460	1588	1856
461	1590	1852
462	1593	1848
463	1596	1844
464	1599	1840
465	1602	1836
466	1605	1831
467	1607	1827
468	1610	1823
469	1613	1819
470	1616	1815
471	1619	1811
472	1622	1807
473	1624	1802
474	1627	1798
475	1629	1794
476	1632	1790
477	1635	1786
478	1638	1781
479	1641	1777
480	1643	1773
481	1646	1769
482	1649	1765
483	1651	1761
484	1654	1757
485	1657	1752
486	1660	1748
487	1662	1744
488	1665	1740
489	1668	1736
490	1671	1732
491	1674	1729
492	1678	1726
493	1681	1722
494	1684	1718
495	1687	1714
496	1690	1710
497	1693	1707
498	1697	1703
499	1699	1699
500	1702	1696
501	1706	1692
502	1710	1690
503	1713	1686
504	1717	1683
505	1720	1679
506	1723	1675
507	1726	1672
508	1729	1668
509	1732	1664
510	1735	1660
511	1738	1657
512	1742	1653
513	1745	1650
514	1748	1646
515	1751	1643
516	1754	1639
517	1758	1636
518	1762	1633
519	1765	1629
520	1768	1625
521	1772	1623
522	1775	1619
523	1778	1615
524	1781	1612
525	1784	1608
526	1788	1605
527	1792	1602
528	1795	1598
529	1798	1594
530	1801	1591
531	1804	1587
532	1808	1584
533	1811	1581
534	1814	1577
535	1817	1573
536	1822	1571
537	1825	1568
538	1828	1564
539	1831	1560
540	1836	1557
541	1839	1554
542	1842	1551
543	1846	1547
544	1849	1543
545	1851	1539
546	1856	1537
547	1859	1533
548	1862	1530
549	1865	1526
550	1868	1522
551	1872	1519
552	1875	1516
553	1879	1512
554	1884	1510
555	1889	1509
556	1893	1506
557	1897	1502
558	1902	1500
559	1906	1498
560	1911	1495
561	1914	1492
562	1920	1490
563	1923	1486
564	1926	1483
565	1929	1479
566	1933	1476
567	1936	1472
568	1940	1469
569	1943	1465
570	1946	1462
571	1949	1458
572	1952	1455
573	1956	1452
574	1960	1449
575	1963	1445
576	1966	1441
577	1970	1438
578	1973	1435
579	1977	1431
